customer_id,full_name,email,phone_number,date_of_birth,address,city,state,zip_code,account_balance
CUST1001,Carl Webb,morrowmatthew@example.com,+1-317-877-7270x4176,2002-01-08,"162 Selena Vista Suite 807, Johnathanville, MH 07870",Rachelmouth,WI,54014,9395.1
CUST1002,Barbara Wilson,leonard05@example.com,(733)337-9147,1963-01-30,"58040 Sanchez Isle, Douglasbury, MD 77106",East Mark,WV,93222,29707.32
CUST1003,Raven Estrada,tracyburns@example.com,(609)584-3331x6600,1964-06-01,"11712 Miller Stream Suite 300, North Patricia, MP 41367",Glenville,GA,38196,33713.09
CUST1004,Kimberly Clark,browndavid@example.com,+1-412-739-4951,1993-01-19,"9882 Jacob Courts, Lake Kristen, MO 26470",Buchananstad,PW,27837,24609.33
CUST1005,Lacey Ballard,rebecca74@example.org,555-493-7435x6774,1991-09-06,"81117 Jennifer Prairie, Shermanton, AL 63709",East Jody,OR,02067,29963.67
CUST1006,Lisa Wilkins,becktravis@example.org,270-761-5434x4943,1994-12-14,"59702 Robert Viaduct Suite 562, South Theresashire, LA 68346",North Robinberg,PA,97188,22578.31
CUST1007,Kristina Jones,thomas14@example.net,770-718-6294x52067,2008-02-14,"064 Diana Lane, East Darren, AS 05060",Port Jamesland,NH,56500,30208.98
CUST1008,Shannon Wilcox,jamesperry@example.org,001-717-987-7500x218,1981-06-07,"PSC 3315, Box 6735, APO AE 04822",Port Michelleville,IA,89563,27082.98
CUST1009,David Hopkins,kimberly95@example.org,698-690-6652x25221,2007-12-10,"614 Phillips Lakes Suite 589, North Kristinechester, FL 73334",Walterschester,IA,31812,40556.08
CUST1010,Kristopher Miller,mark53@example.com,001-771-528-0781x9831,1987-07-20,"66481 Brenda Place Apt. 531, West Douglas, MP 20008",Millerchester,UT,25444,6610.69
CUST1011,Sydney Ritter,nicole93@example.com,882.724.8242x9759,1958-02-16,"522 Karen Light, West Amber, WA 20651",South Davidhaven,AZ,02545,44968.46
CUST1012,Brent Hopkins,martin84@example.org,+1-984-608-7811x42158,1958-11-01,"USNV Snow, FPO AE 65140",Lawsonmouth,VI,72976,12466.28
CUST1013,Christy Moore,amosley@example.org,+1-439-718-2991x6597,1953-04-01,"922 David Parkway Suite 119, West Shannon, PA 37446",Lisafort,NM,36780,33390.12
CUST1014,Benjamin Bowman,bhale@example.net,6138143744,1996-01-12,"133 Elizabeth Oval Suite 943, Lake Kathleen, MD 67484",Lake Joe,TX,47034,4229.37
CUST1015,David King,justinsanchez@example.com,001-894-231-8237x616,1956-09-16,"948 Peter Streets, West Vincentmouth, AL 94547",Derrickberg,OH,88057,743.14
CUST1016,Meredith Shaffer,christinasmith@example.com,7854721805,1967-12-30,"7043 Brian Junctions, Donaldhaven, VT 83742",South Jesseside,SC,71433,24116.01
CUST1017,Jeremy Moore,michaelcontreras@example.com,(524)320-9965,1947-03-18,"538 Moody Union, Georgebury, TN 21962",Lake Thomasmouth,CA,44289,49366.38
CUST1018,Taylor Mcdonald,lpage@example.com,(750)940-3035,1957-06-04,"76938 Joseph Highway Apt. 925, Bergerhaven, OR 28773",Lake Rebeccatown,MD,54070,17383.05
CUST1019,Stephanie Ponce,janet11@example.net,217.878.2565x975,1993-02-07,"776 Donald Lights, South Janiceshire, IA 35473",South Sarah,NC,19823,30787.81
CUST1020,Kimberly Moore,kellyrivas@example.org,5357598310,1984-03-12,"25140 Jessica Wells Suite 157, Port Patty, PA 21639",West Cesarburgh,UT,10357,17437.87
