customer_id,full_name,email,phone_number,date_of_birth,address,city,state,zip_code,account_balance
CUST1001,Henry Mccall,bclay@example.net,001-598-817-4571x241,1994-07-09,"6934 Patrick Burg Apt. 723, Lake Nancy, MP 86529",Port Heatherside,AK,42607,9472.36
CUST1002,Ronald Walker,peggysanchez@example.org,+1-588-964-1944x27749,1969-07-20,"80985 King Shore, West Christopher, MT 80409",West Kathryn,RI,00642,20057.34
CUST1003,William Hayes PhD,richardrubio@example.net,001-899-525-3812,1976-12-14,"930 Wheeler Isle, Taylortown, ND 50506",Christinatown,OR,60720,30221.95
CUST1004,Jonathan Mason,hodgejohn@example.org,566.546.3983,2005-06-09,"29128 Kimberly Unions Apt. 056, Hahnport, KY 61713",Amyburgh,DC,18309,49268.44
CUST1005,Tammy Hernandez,ubarajas@example.org,915.367.9506,1974-09-09,"376 Bryce Branch, West Gregoryville, NH 97963",North Mary,PA,02612,43564.39
CUST1006,William Ruiz,brendan96@example.org,+1-375-524-1348,1967-10-17,"9915 Barber Bypass Apt. 228, Amberton, ME 54151",Richardsonmouth,AL,76999,23204.03
CUST1007,Elizabeth Wilson,tanya43@example.net,313.454.5292x9906,1968-08-03,"Unit 6979 Box 6497, DPO AA 47186",Lake Joseview,GA,38303,33192.95
CUST1008,James Stevens,sheliaharris@example.org,001-240-377-7179x60516,1968-04-09,"Unit 4370 Box 1357, DPO AE 38431",East Janiceside,NY,35878,45982.86
CUST1009,Kelsey Coleman,andrew93@example.net,552-315-6026x06547,1965-01-18,"USNV Mcclain, FPO AA 98567",Jenniferville,OH,79682,21400.54
CUST1010,Michele Miller,debra46@example.net,(854)768-5577,1949-02-28,"PSC 9207, Box 9363, APO AA 11518",Christopherland,FL,21000,5654.76
CUST1011,Joanna Berry,aprilclark@example.net,(249)442-9977x082,1986-11-17,"PSC 0398, Box 4261, APO AA 99534",South Dianafurt,AR,24915,16060.7
CUST1012,Susan Gonzalez,ibailey@example.net,(389)401-3719x278,1983-07-14,"789 Ariana Club Suite 116, West Huntershire, FM 51218",Gloriaton,NE,18033,11922.36
CUST1013,Heather Myers,charleswells@example.com,001-436-778-7001,1972-09-24,"567 Turner Streets Suite 654, Michellehaven, AR 32116",Port Michael,WV,02080,24955.95
CUST1014,Christina Clark,tonisnyder@example.com,511.913.1229x61455,1955-06-17,"54775 Lisa Crescent, Jessicaborough, NE 93356",West Jamieshire,MA,35726,49613.83
CUST1015,Janet Miller,charles66@example.com,001-835-466-9596x68063,1999-06-03,"61469 Melinda Plaza Apt. 937, South Ashleyside, OK 91563",South Lisastad,NC,66685,36823.04
CUST1016,Sharon Sandoval,ashley69@example.net,+1-268-590-5727x6714,1979-03-23,"37825 Michelle Spring, South Katherine, SD 57621",Timothyburgh,AR,61959,10235.37
CUST1017,Holly Ballard,carolsoto@example.org,(817)343-3101x423,1952-12-11,"7009 Morris Way Apt. 184, Hollowayberg, SD 42095",West Kennethfurt,NE,09954,44061.15
CUST1018,Grant Turner,eross@example.org,(520)676-3768,1993-01-10,"0836 Brenda Views Apt. 136, Wilsonmouth, KS 79662",Lake Samanthastad,DE,47854,35629.12
CUST1019,Timothy Tucker,blackwelllinda@example.net,(937)560-8338,1973-04-23,"6437 Brandi Spurs Apt. 920, Boyerstad, AK 58096",North Loganbury,KS,32879,16443.27
