customer_id,full_name,email,phone_number,date_of_birth,address,city,state,zip_code,account_balance
CUST1001,Amber Carney,juliansloan@example.net,001-832-558-2238x851,1952-08-31,"USNS Farley, FPO AE 16928",Lake Maria,PR,46282,37430.97
CUST1002,Mark Hall,simpsonsara@example.com,+1-629-363-9921x85418,1972-05-18,"498 Tyler Route Suite 402, New Jonathan, SD 50624",East Josephfort,CT,18948,27800.0
CUST1003,Lisa Reyes,owaters@example.com,955.629.8450x681,1950-09-13,"29868 Bradley Plaza, South Johntown, DE 93435",Figueroafurt,MO,26811,31817.15
CUST1004,William Andrade,jennifer12@example.com,6647593304,1985-02-01,"924 Gray Court, Taylorfort, PA 20595",Rodriguezfurt,WI,50289,45502.8
CUST1005,Paul Weber,ramosyolanda@example.com,+1-588-249-3219x817,1976-01-17,"823 Elizabeth Place, Lake Victoriahaven, TN 84925",East Kayla,KS,15545,20207.13
CUST1006,Shane Wagner,ryoung@example.org,414-710-2157x46651,1992-07-22,"3450 Alyssa Cove Suite 962, East Kathleenborough, IL 42994",New Staceyshire,RI,74561,45858.63
CUST1007,Carol Brennan,marygonzalez@example.org,268-851-7587x942,2002-01-12,"8539 Gordon Valley, North Kathryn, OH 69423",Lake Ericaborough,DC,42303,17447.94
CUST1008,Dawn Navarro,angela74@example.com,+1-947-728-5169x899,1994-09-17,"52704 Nicholas Radial, East Melissaborough, MT 03888",Bishopland,MI,85433,2659.0
CUST1009,Daniel Bartlett,bvaughn@example.com,001-805-575-5879,1996-06-12,"60996 Watson Rest, Alexistown, FL 03202",New Josephville,WI,20001,37997.03
CUST1010,Susan Perkins,welchjackson@example.net,5096540695,1970-11-12,"08727 Jason Drive, North Anne, LA 92922",Port Kevinfort,DE,40689,22276.92
CUST1011,Monica Garcia,rmaddox@example.org,238-245-0457,1955-10-30,"763 Acevedo Junction, Woodsmouth, RI 68177",Paulhaven,KS,72240,6140.04
CUST1012,Ronald Hancock,sjohnson@example.org,951.404.7733x87474,1982-02-25,"0810 Carlson Creek Suite 646, South Theresa, AR 37473",Lamberthaven,NY,55227,15839.48
CUST1013,Alyssa Stout,cruzrobin@example.com,001-398-875-5744,1956-08-09,"148 Cassandra Springs Suite 251, Alfredhaven, FM 38034",Bakerbury,NH,57692,11587.46
CUST1014,Briana Cook,ericnorris@example.com,001-310-363-9322x5795,1951-01-18,"797 James Wall, East Kimberly, NH 79911",East Paul,AZ,34240,13154.51
