customer_id,full_name,email,phone_number,date_of_birth,address,city,state,zip_code,account_balance
CUST1001,Madeline Leonard,benjamin56@example.com,(505)272-9730,1953-03-14,"5868 Megan Ridge Apt. 493, Lake Jenniferfort, OK 25043",Jennifermouth,OK,80121,3307.16
CUST1002,Angela Wood,ashleymichael@example.org,814.274.2345x439,1998-06-23,"564 James Spur Suite 168, Port Matthew, AR 10779",Willishaven,NV,69294,8097.71
CUST1003,Rebekah Lopez,davidnunez@example.com,+1-584-297-5222,2003-07-25,"374 Chris Junctions, North Annmouth, MT 74987",Coreybury,UT,96548,49517.69
CUST1004,Kristen Pierce,stephensraymond@example.net,961-511-6510,2008-04-16,"95563 Tammy Parks, Richardsfort, DE 26935",Port Brianville,IA,07944,13950.78
CUST1005,Sabrina Allen,qwarren@example.com,+1-625-396-9377x70802,1970-04-20,"6463 Donald Springs, North Kellyview, HI 72364",East Damon,TN,63426,42628.1
CUST1006,Tony Jones,jessica38@example.org,594-584-1112x7156,1987-01-01,"79218 Lawson Plains Suite 812, South Joseph, RI 28966",West Michelle,ND,41244,26964.28
CUST1007,April Martin,christina16@example.org,8699925884,1964-07-06,"69605 Rogers Branch, Lake Andrewberg, NC 49129",Lake Cindychester,IN,09614,44960.25
CUST1008,Brittney White,jaustin@example.com,001-353-367-4757x09565,1952-09-30,"Unit 1957 Box 6604, DPO AA 43566",North Alexandrashire,PW,19307,17750.55
CUST1009,Zachary Brooks,cookcharles@example.net,355.294.2067,2006-07-19,"8675 Kim Ports, Lake Robertstad, WI 09581",Port Miguelbury,ND,71970,34791.12
CUST1010,Michael Frank,kwhite@example.com,(689)772-6543x604,1998-10-03,"574 Robert Land Apt. 148, Moontown, OH 85481",Barnesland,MD,50777,5982.53
CUST1011,Mark Odom,wheelersandra@example.com,(487)854-3620x9773,1954-06-17,"214 Torres Rue Suite 337, South Christina, RI 49302",Heatherport,WI,86831,15210.17
CUST1012,Michael Hicks,denisewallace@example.org,908.794.8822x280,1978-01-16,"2905 Kelly Springs, Whitneyland, NE 43741",Hoffmanview,SC,70267,15099.7
CUST1013,Manuel Carson,patriciaatkinson@example.org,001-500-434-6238,2007-11-07,"39174 Martinez Route, Port Wayne, CO 64976",Suttonfort,MD,96385,19895.69
CUST1014,Michael Tate,natalieyoung@example.org,001-683-273-6417x507,1977-11-07,"8026 James Shoal Apt. 369, Donaldfurt, ID 15880",Cynthiaton,AL,82577,31513.32
CUST1015,Ashley Turner,ypowers@example.com,351.376.0377x171,1967-06-20,"787 Smith Locks, South Karen, PW 89380",Lake Rogerstad,CT,07444,12642.36
CUST1016,Eric Oconnor,cynthia31@example.net,001-330-857-5539x5260,1990-03-01,"37085 Smith Spurs, New Michaelmouth, NM 91377",Ashleytown,UT,86537,10412.22
CUST1017,David Curtis,gmoreno@example.com,(454)931-7251x5237,1985-01-19,"PSC 6167, Box 3325, APO AA 48279",Karenburgh,AS,71904,24433.03
CUST1018,Kari Robertson,meyerkristin@example.com,(388)821-8568,1969-10-14,"Unit 8725 Box 0522, DPO AP 53229",Stewartville,NE,40779,41609.15
CUST1019,Michael Murray,uwerner@example.com,578.677.2552x55983,1951-10-15,"6797 Schultz Isle Apt. 528, Pageport, RI 20138",Micheleview,HI,55605,22803.08
