customer_id,full_name,email,phone_number,date_of_birth,address,city,state,zip_code,account_balance
e0ef62cf,Nicole Oneill,elizabethhartman@example.org,Nicole Chase,2002-05-18,Jessica Anderson,Rachelmouth,WI,54014,9395.1
684d0635,Jack Sims,schmidtkaren@example.net,911-546-8588x552,1963-06-17,Maurice Henson,East Mark,WV,93222,29707.32
0bb497b9,Catherine Gilbert,beckstephanie@example.com,Lori Bell,1964-08-04,Alexander Peters,Glenville,GA,38196,33713.09
4fee26fa,Karen Robles,tiffany41@example.org,Michael Mason,1993-05-27,Aaron Cisneros,Buchananstad,PW,27837,24609.33
0184a47b,Latoya Burke,gregory35@example.net,Anthony Mathis,1991-10-24,Michael Roberts,East Jody,OR,2067,29963.67
e0fc679c,Deborah Grimes,josepherik@example.org,Deborah Page,1995-02-28,Terry Knapp,North Robinberg,PA,97188,22578.31
dc2bc556,Rebecca Stone,danieljohnson@example.org,Edward Peterson,2008-06-04,Courtney Wilson,Port Jamesland,NH,56500,30208.98
7d6501c3,John Booth,tbradley@example.com,James Horn,1981-10-29,John Shaw,Port Michelleville,IA,89563,27082.98
8584702e,Eddie Burke,graydebra@example.com,Zachary Medina,2008-02-10,Leslie Rodgers,Walterschester,IA,31812,40556.08
db0b924d,Jason Blackburn,ralphwilliams@example.org,Ryan Perez,1987-08-28,Richard Martinez,Millerchester,UT,25444,6610.69
2f9a6344,Adam Bartlett,walkerthomas@example.org,Regina Ortega,1958-05-18,Laura Miller,South Davidhaven,AZ,2545,44968.46
5a4913f2,Eric Lopez,mullenbobby@example.net,Nicole Gonzalez,1959-04-23,Jeff Griffith,Lawsonmouth,VI,72976,12466.28
8c11c792,Stephanie Hoover,gardnerjose@example.org,Daniel Galvan,1953-07-06,Cynthia Gordon,Lisafort,NM,36780,33390.12
d194387b,Jason Goodman MD,dwall@example.net,803-789-8272x847,1996-04-17,Bob Brown,Lake Joe,TX,47034,4229.37
a30336df,Sarah Gomez,christina61@example.org,Melissa Hughes,1957-01-06,Joseph Gay,Derrickberg,OH,88057,743.14
9bfd71ea,Meagan Smith,brandonmolina@example.net,(760)676-9808x577,1968-05-05,Katie Rodriguez,South Jesseside,SC,71433,24116.01
fd84217a,Benjamin Todd,nathaniel33@example.org,001-879-824-6948x816,1947-05-06,Melissa Riley,Lake Thomasmouth,CA,44289,49366.38
ecc17c0a,Amy Ramirez,weaverbrenda@example.net,001-750-823-4048,1957-10-18,Steven Rosario,Lake Rebeccatown,MD,54070,17383.05
361de01c,Taylor Randall,mwinters@example.com,Alexis Fitzpatrick,1993-06-19,Donald Mccall,South Sarah,NC,19823,30787.81
7a1fd583,Annette Jones,jacob64@example.net,909-564-0834x83130,1984-08-26,Ricky Brown II,West Cesarburgh,UT,10357,17437.87
