customer_id,full_name,email,phone_number,date_of_birth,address,city,state,zip_code,account_balance
e0ef62cf,Dawn Gonzalez,karencooper@example.com,Megan Richardson DDS,1994-09-16,William Cobb,Port Heatherside,AK,42607,9472.36
684d0635,Sandra Fox,xcameron@example.com,Patrick Clark,1969-12-20,Timothy King,West Kathryn,RI,642,20057.34
0bb497b9,Joshua Harris,alexis73@example.com,+1-673-406-9408,1977-04-11,Robert Kidd,Christinatown,OR,60720,30221.95
4fee26fa,Bruce Klein,kevin46@example.org,Christopher Monroe,2005-10-23,Janet Barber,Amyburgh,DC,18309,49268.44
0184a47b,Wendy Day,aprilvargas@example.org,Andrew Hart,1975-02-13,Selena Jordan,North Mary,PA,2612,43564.39
e0fc679c,Christopher Mclean,brandy62@example.com,Brandon Wood,1968-03-19,David Sullivan,Richardsonmouth,AL,76999,23204.03
dc2bc556,Thomas Bass,rodriguezandrea@example.net,Paul Burnett,1968-10-11,Breanna Pierce,Lake Joseview,GA,38303,33192.95
7d6501c3,Jessica Franco,guzmankeith@example.com,Lynn Anderson,1968-08-25,Dawn Stewart,East Janiceside,NY,35878,45982.86
8584702e,John Kramer,christinapeterson@example.org,Stephanie Watts,1965-06-27,Joan Becker,Jenniferville,OH,79682,21400.54
db0b924d,Joel Avila,ohansen@example.com,(853)445-7072x35700,1949-08-26,Charles Andrews,Christopherland,FL,21000,5654.76
2f9a6344,Aaron Bell,justinwilcox@example.com,Kevin Ward,1987-01-08,Jennifer Perry,South Dianafurt,AR,24915,16060.7
5a4913f2,Catherine Boyd,charlesramos@example.org,Debra Velasquez,1983-12-06,Alexander Jones,Gloriaton,NE,18033,11922.36
8c11c792,Jessica Sanders,coopercatherine@example.org,(947)331-2260x5025,1973-03-22,Tiffany Wells,Port Michael,WV,2080,24955.95
d194387b,Penny Mcgee,fortiz@example.com,Trevor Stewart,1955-08-06,Jody Simon,West Jamieshire,MA,35726,49613.83
a30336df,Amy Collins,kellerbrian@example.net,Roger Barry,1999-07-07,James Mcdaniel,South Lisastad,NC,66685,36823.04
