customer_id,full_name,email,phone_number,date_of_birth,address,city,state,zip_code,account_balance
e0ef62cf,Am********ey,wrocha@example.com,David Moore,1952-10-24,Joe Davila,Lake Maria,PR,46282,37430.97
684d0635,Ma*****ll,misty39@example.org,Jacqueline Hernandez,1972-09-25,Thomas Rodriguez,East Josephfort,CT,18948,27800.0
0bb497b9,Li******es,richard81@example.org,Jennifer Merritt,1950-11-02,Raymond James,Figueroafurt,MO,26811,31817.15
4fee26fa,Wi***********de,linda02@example.net,(323)855-9453,1985-07-13,Kelly Jefferson,Rodriguezfurt,WI,50289,45502.8
0184a47b,Pa******er,delgadotimothy@example.org,Debra Mcgee,1976-06-17,Elizabeth Cook,East Kayla,KS,15545,20207.13
e0fc679c,Sh********er,larrycoleman@example.net,Christina Mclaughlin,1993-01-06,Robert Vazquez,New Staceyshire,RI,74561,45858.63
dc2bc556,Ca*********an,gilbertmichael@example.com,Russell Jackson,2002-02-23,Kayla Kent,Lake Ericaborough,DC,42303,17447.94
7d6501c3,Da********ro,kleinlauren@example.org,Beth Anderson,1994-11-02,Kristen Spence,Bishopland,MI,85433,2659.0
8584702e,Da***********tt,douglasharris@example.com,784-204-9362x87451,1996-11-15,Michael Mitchell,New Josephville,WI,20001,37997.03
db0b924d,Su*********ns,harrisjames@example.net,(737)451-0223x039,1971-04-19,John Fisher,Port Kevinfort,DE,40689,22276.92
2f9a6344,Mo*********ia,michael55@example.net,7947970595,1955-12-18,Kevin Green,Paulhaven,KS,72240,6140.04
5a4913f2,Ro**********ck,michelenovak@example.org,Daniel Clark,1982-04-10,David Cohen,Lamberthaven,NY,55227,15839.48
8c11c792,Al********ut,mlee@example.net,001-976-609-4413x5394,1956-11-03,Kimberly Harvey,Bakerbury,NH,57692,11587.46
d194387b,Br*******ok,melissa49@example.net,Erika Williams,1951-07-17,Benjamin Taylor,East Paul,AZ,34240,13154.51
a30336df,Jo*******or,anthonymccarthy@example.net,Jennifer Thomas,1977-11-01,Aaron Reynolds,Walkerborough,VI,71520,29394.75
9bfd71ea,Ma************ms,youngwilliam@example.com,749.685.5862x595,2001-04-21,Gregory Obrien,North Rebecca,NH,62206,9273.47
fd84217a,Gr*************ez,michael21@example.org,Tyrone Morgan,1988-12-03,Alyssa Ellison,South Brian,WY,3795,5029.69
ecc17c0a,Ma***********an,patricia12@example.net,(642)234-7350x25183,1973-12-08,Jill Torres,Pearsontown,DE,48156,17093.98
361de01c,Aa********en,melissaobrien@example.net,504-944-5907x035,2004-03-31,John Howard,Jenniferview,AL,43560,48339.68
7a1fd583,Je************ng,benjaminthompson@example.net,Kristin Brown,1999-08-04,Randall Sanford,Garciahaven,MD,22575,31919.52
204e2139,Ch**************on,zamorachristina@example.com,Thomas Greer,1992-06-29,Emily Ross,Lake Joshuafort,TN,99537,20342.02
d162e227,Jo******wn,david63@example.org,Paul Cox,1990-01-26,Jeff Vasquez,West Paul,MO,4623,15819.0
f8eb9a1c,Mi*********en,wortiz@example.net,Gregory Herman,1981-07-11,Jamie Carroll,West Heather,FL,44106,49111.12
ae417207,Ch****************ms,gregorycalderon@example.com,Jeffrey Johnson,1993-11-22,Kelly Webb,Lauratown,NY,59347,24941.73
52c996e1,Ch*********nn,jconley@example.net,Vanessa Hamilton,1959-07-31,Gloria Smith,Lindaview,AL,73768,34211.98
598e38dd,Pa*****ll,jessica25@example.net,Melissa Walker,1986-01-29,Michael Gutierrez,Nashchester,VA,3334,1771.11
